Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Priority,Status,Custom field (Story point estimate),Time Spent,Created,Updated,Custom field (Start date),Due date,Labels,Labels,Labels,Labels
Task,HED-486,20696,New Dashboard and changes to the sprints methodology,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,High,Done,5.0,21600,03/Mar/26 8:22 AM,03/Mar/26 8:22 AM,,,jira,managing,,
Task,HED-402,19429,Creating Scrub Space and videotutorials,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,In Progress,5.0,,13/Feb/26 11:35 AM,04/Mar/26 12:04 PM,,06/Mar/26 12:00 AM,,,,
Story,HED-322,17903,"The team wants to use claude AI for our spikes, code, etc",Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,1.0,,28/Jan/26 9:22 AM,04/Mar/26 12:04 PM,,,,,,
Task,HED-450,19762,CP - Implement an option to edit existing documents.,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,To Do,,,17/Feb/26 8:41 AM,02/Mar/26 7:10 AM,,,,,,
Task,HED-426,19593,"CP - Fix the ""Credit"" filter to ensure it returns accurate results.",Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,2.0,7200,16/Feb/26 11:59 AM,02/Mar/26 1:55 PM,02/Mar/26 12:00 AM,02/Mar/26 12:00 AM,cordobaPortal,frontend,,
Bug,HED-425,19591,CP - Standardize all filters across all tabs to ensure consistency.,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,4200,16/Feb/26 11:59 AM,02/Mar/26 1:55 PM,02/Mar/26 12:00 AM,02/Mar/26 12:00 AM,cordobaPortal,frontend,,
Task,HED-421,19585,CP - Implement proper synchronization with Forth for changes made in Forth (Include forth_user_id).,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,8.0,46800,16/Feb/26 11:55 AM,03/Mar/26 10:59 AM,19/Feb/26 12:00 AM,20/Feb/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-410,19566,CP - Improve and implement server error messages,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,In Progress,8.0,,16/Feb/26 11:40 AM,03/Mar/26 11:23 AM,03/Mar/26 12:00 AM,,.NET,backend,cordobaPortal,
Task,HED-315,17767,Dev environment - DNS,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,To Do,5.0,,26/Jan/26 9:09 AM,02/Mar/26 7:10 AM,,,,,,
Task,HED-489,20795,"CP - Merge pull requests, clean up branches, and validate changes in develop",Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,4800,03/Mar/26 10:54 AM,03/Mar/26 11:14 AM,03/Mar/26 12:00 AM,03/Mar/26 12:00 AM,.NET,backend,cordobaPortal,testing
Task,HED-485,20663,Validate Date of Birth functionality in CreditorX Android App,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,1800,02/Mar/26 2:30 PM,02/Mar/26 2:33 PM,02/Mar/26 12:00 AM,02/Mar/26 12:00 AM,creditorx,testing,,
