Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Priority,Status,Custom field (Story point estimate),Time Spent,Created,Updated,Custom field (Start date),Due date,Labels,Labels,Labels,Labels
Task,HED-458,19930,PA - List 2,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,5.0,,19/Feb/26 8:51 AM,20/Feb/26 9:29 AM,,,,,,
Task,HED-454,19830,PA - List,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,5.0,,18/Feb/26 9:01 AM,19/Feb/26 8:51 AM,,,,,,
Task,HED-408,19563,CP - Create and assign MVP Sprint 7 tasks,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,5.0,,16/Feb/26 11:38 AM,17/Feb/26 4:03 PM,16/Feb/26 12:00 AM,16/Feb/26 12:00 AM,,,,
Task,HED-420,19583,CP - 2FA validation on email address change,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,3.0,16200,16/Feb/26 11:53 AM,17/Feb/26 8:51 AM,16/Feb/26 12:00 AM,16/Feb/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-413,19571,CP - Max OTP resends' being set at '5' then a cooldown period for 10 to 20 minutes.,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,5.0,38400,16/Feb/26 11:43 AM,20/Feb/26 9:22 AM,17/Feb/26 12:00 AM,18/Feb/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-457,19897,CP - Add debt column to the list (Back-End),Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,2.0,8400,18/Feb/26 2:33 PM,19/Feb/26 11:45 AM,18/Feb/26 12:00 AM,19/Feb/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-441,19714,"CP - Displays the bank account number as “***********2043”, and add a button that when clicked, it reveals the full account number.",Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,3.0,18000,17/Feb/26 7:01 AM,18/Feb/26 11:32 AM,17/Feb/26 12:00 AM,17/Feb/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-478,20496,[QA]: CreditorX-Android – OTP Authentication ,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,3.0,18000,26/Feb/26 10:02 AM,26/Feb/26 3:22 PM,26/Feb/26 12:00 AM,26/Feb/26 12:00 AM,android,creditorx,,
Task,HED-439,19679,CP - Implement a success confirmation message and trigger a view refresh after a video is uploaded.,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,2.0,10800,16/Feb/26 2:45 PM,20/Feb/26 9:16 AM,19/Feb/26 12:00 AM,19/Feb/26 12:00 AM,cordobaPortal,frontend,react,
Task,HED-436,19674,CP - Add debt column to the list.,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,2.0,10800,16/Feb/26 2:44 PM,19/Feb/26 8:49 AM,18/Feb/26 12:00 AM,18/Feb/26 12:00 AM,cordobaPortal,frontend,react,
Task,HED-435,19672,"CP - Expand search bar capabilities to include Date, Type, and Description",Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,2.0,9000,16/Feb/26 2:43 PM,23/Feb/26 8:51 AM,19/Feb/26 12:00 AM,20/Feb/26 12:00 AM,cordobaPortal,frontend,react,
Task,HED-429,19598,Tasks - The note field should expand vertically to accommodate long content for better readability.,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,1.0,1800,16/Feb/26 12:01 PM,19/Feb/26 8:49 AM,18/Feb/26 12:00 AM,18/Feb/26 12:00 AM,cordobaPortal,frontend,react,
Task,HED-427,19595,"CP - Tasks - Should filter by ""Due Date"" instead of ""Creation Date"".",Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,1.0,7200,16/Feb/26 12:00 PM,19/Feb/26 8:49 AM,18/Feb/26 12:00 AM,18/Feb/26 12:00 AM,cordobaPortal,frontend,graphql,react
Task,HED-418,19580,"CP - Displays the bank account number as “***********2043”, and add a button that when clicked, it reveals the full account number.",Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,3.0,16200,16/Feb/26 11:51 AM,19/Feb/26 8:35 AM,17/Feb/26 12:00 AM,17/Feb/26 12:00 AM,cordobaPortal,frontend,,
