Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Priority,Status,Custom field (Story point estimate),Time Spent,Created,Updated,Custom field (Start date),Due date,Labels,Labels,Labels,Labels
Task,HED-526,21504,Slack new confluence,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,To Do,1.0,,13/Mar/26 11:07 AM,16/Mar/26 8:48 AM,,,,,,
Task,HED-509,21199,Claude Code in Action 1,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,In Progress,,,11/Mar/26 12:48 PM,16/Mar/26 8:48 AM,,,ai,certification,claude,studying
Task,HED-508,21198,Check responsiveness of Cordoba Portal,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,To Do,3.0,,11/Mar/26 12:45 PM,16/Mar/26 8:48 AM,,,cordobaPortal,testing,,
Task,HED-496,20962,Meetings with John speaking about CordobaPortal,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,5.0,,09/Mar/26 9:51 AM,09/Mar/26 9:54 AM,,,,,,
Task,HED-495,20961,Meetings with John speaking about Creditor X,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,5.0,,09/Mar/26 9:50 AM,11/Mar/26 4:45 PM,,,creditorx,requirements,,
Task,HED-491,20861,Protect and add Rules to main/prod branches to Front and Back repos,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,2.0,,05/Mar/26 8:36 AM,11/Mar/26 3:09 PM,05/Mar/26 12:00 AM,05/Mar/26 12:00 AM,github,security,,
Task,HED-486,20696,New Dashboard and changes to the sprints methodology,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,High,Done,5.0,21600,03/Mar/26 8:22 AM,03/Mar/26 8:22 AM,,,jira,managing,,
Task,HED-402,19429,Creating Scrub Space and videotutorials,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,To Do,5.0,,13/Feb/26 11:35 AM,16/Mar/26 8:48 AM,,13/Mar/26 12:00 AM,scrub,scrubautomation,,
Story,HED-322,17903,"The team wants to use claude AI for our spikes, code, etc",Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,1.0,,28/Jan/26 9:22 AM,11/Mar/26 4:43 PM,,,claude,,,
Task,HED-499,20997,CP - Improve and implement server error messages (GraphQL Unhandled Errors ),Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,5.0,28800,09/Mar/26 11:36 AM,13/Mar/26 9:32 AM,06/Mar/26 12:00 AM,10/Mar/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-498,20996,CP - Improve and implement server error messages (GraphQL Domain Errors),Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,3.0,23400,09/Mar/26 11:36 AM,13/Mar/26 8:14 AM,06/Mar/26 12:00 AM,10/Mar/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-426,19593,"CP - Fix the ""Credit"" filter to ensure it returns accurate results.",Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,2.0,7200,16/Feb/26 11:59 AM,02/Mar/26 1:55 PM,02/Mar/26 12:00 AM,02/Mar/26 12:00 AM,cordobaPortal,frontend,,
Bug,HED-425,19591,CP - Standardize all filters across all tabs to ensure consistency.,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,4200,16/Feb/26 11:59 AM,02/Mar/26 1:55 PM,02/Mar/26 12:00 AM,02/Mar/26 12:00 AM,cordobaPortal,frontend,,
Task,HED-421,19585,CP - Implement proper synchronization with Forth for changes made in Forth (Include forth_user_id).,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,8.0,46800,16/Feb/26 11:55 AM,03/Mar/26 10:59 AM,19/Feb/26 12:00 AM,20/Feb/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-410,19566,CP - Improve and implement server error messages (REST),Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,5.0,28800,16/Feb/26 11:40 AM,12/Mar/26 4:21 PM,06/Mar/26 12:00 AM,10/Mar/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-315,17767,Dev environment - DNS,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,To Do,5.0,,26/Jan/26 9:09 AM,16/Mar/26 8:48 AM,,,,,,
Bug,HED-523,21405,Align error handling changes with latest features to fix CI build,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,,12/Mar/26 3:07 PM,12/Mar/26 4:23 PM,12/Mar/26 12:00 AM,12/Mar/26 12:00 AM,.NET,backend,bug,cordobaPortal
Task,HED-522,21404,Study of Claude Code in Action course,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,7200,12/Mar/26 3:04 PM,13/Mar/26 9:27 AM,12/Mar/26 12:00 AM,13/Mar/26 12:00 AM,claude,studying,,
Task,HED-518,21304,CP - Filter task fetch by assigned user,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,2400,12/Mar/26 11:59 AM,12/Mar/26 2:40 PM,12/Mar/26 12:00 AM,12/Mar/26 12:00 AM,.NET,backend,cordobaPortal,
